Issue Key,Issue Type,Summary,Description,Epic Link,Parent Link,Issue Links: “Blocks”,Issue Links: “Is Blocked By”,Labels
TH-0001,Theme,Agile Foundation,Foundational theme for Federated Agile,,,,,theme
TH-0002,Theme,Sequencing & Decision Engine,Sequencing and decision infrastructure,,,,,theme
TH-0003,Theme,Constraint Pipeline Ramp,Constraint backlog & OVCS workflows,,,,,theme
TH-0004,Theme,Msingi Pipeline Enablement,Enable Msingi cycles,,,,,theme
TH-0005,Theme,Federation Launch Support,Federation launch + governance docs,,,,,theme
TH-0006,Theme,Studio Formation Readiness,Studio formation & UME-OS templates,,,,,theme
TH-0007,Theme,Reporting & Transparency,Reporting dashboards + portals,,,,,theme
TH-0008,Theme,External Engagement,Partner engagement protocols,,,,,theme
TH-0009,Theme,Family Estate & Boundary,Eaton Family Estate governance,,,,,theme
TH-0010,Theme,Training & Onboarding,Training curriculum & onboarding systems,,,,,theme

P-0001,Package,Federated Agile Foundation,Package of work establishing agile foundation,,,,,package
P-0002,Package,Sequencing & Decision,Package for sequencing/decision tools,,,,,package
P-0003,Package,Constraint Pipeline Ramp,Package for constraint backlog systems,,,,,package
P-0004,Package,Msingi Pipeline,Package for Msingi programs,,,,,package
P-0005,Package,Federation Launch,Package launching federation,,,,,package
P-0006,Package,Studio Formation,Package for studio readiness,,,,,package
P-0007,Package,Reporting & Transparency,Package for reporting dashboards,,,,,package
P-0008,Package,External Engagement,Package for external protocols,,,,,package
P-0009,Package,Family Estate,Package for family estate governance,,,,,package
P-0010,Package,Training & Onboarding,Package for training & onboarding,,,,,package

I-0001,Initiative,Agile Launch Initiative,Kickoff agile foundation,,,P-0001,,initiative
E-0001,Epic,Playbook Creation,Produce Federated Agile playbook,,I-0001,,epic
S-1001,Story,Draft Agile principles,Create core Federal Agile principles,E-0001,,,feat
S-1002,Story,Define meeting cadences,Define recurring meeting cadences,E-0001,,,feat,Is Blocked By:S-1001
S-1003,Story,Document sequencing rituals,Document sequencing norms,E-0001,,,feat,Is Blocked By:S-1002
S-1004,Story,Write constraint backlog docs,Produce constraint backlog practices doc,E-0001,,,req,Is Blocked By:S-1003

